Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AK,99648*,,0.000%,PERRYVILLE,,0,,
US,AK,99649*,,0.000%,PILOT POINT,,0,,
US,AK,99650*,,4.000%,PILOT STATION,,0,,
US,AK,99651*,,0.000%,PLATINUM,,0,,
US,AK,99652*,,0.000%,BIG LAKE,,0,,
US,AK,99653*,,0.000%,PORT ALSWORTH,,0,,
US,AK,99654*,,0.000%,POINT MACKENZIE,,0,,
US,AK,99655*,,3.000%,QUINHAGAK,,0,,
US,AK,99656*,,0.000%,RED DEVIL,,0,,
US,AK,99657*,,0.000%,RUSSIAN MISSION,,0,,
US,AK,99658*,,0.000%,PITKAS POINT,,0,,
US,AK,99659*,,4.000%,SAINT MICHAEL,,0,,
US,AK,99660*,,3.500%,SAINT PAUL ISLAND,,0,,
US,AK,99661*,,4.000%,SAND POINT,,0,,
US,AK,99662*,,6.000%,SCAMMON BAY,,0,,
US,AK,99663*,,5.000%,SELDOVIA,,0,,
US,AK,99664*,,3.000%,BEAR CREEK,,0,,
US,AK,99665*,,0.000%,SHAGELUK,,0,,
US,AK,99666*,,4.000%,NUNAM IQUA,,0,,
US,AK,99667*,,0.000%,SKWENTNA,,0,,
US,AK,99668*,,0.000%,SLEETMUTE,,0,,
US,AK,99669*,,3.000%,COHOE,,0,,
US,AK,99670*,,0.000%,SOUTH NAKNEK,,0,,
US,AK,99671*,,4.000%,STEBBINS,,0,,
US,AK,99672*,,3.000%,STERLING,,0,,
US,AK,99674*,,0.000%,CHICKALOON,,0,,
US,AK,99675*,,0.000%,MC GRATH,,0,,
US,AK,99676*,,0.000%,CHASE,,0,,
US,AK,99677*,,6.000%,CORDOVA,,0,,
US,AK,99678*,,2.000%,TOGIAK,,0,,
US,AK,99679*,,6.000%,BETHEL,,0,,
US,AK,99680*,,6.000%,BETHEL,,0,,
US,AK,99681*,,0.000%,TUNUNAK,,0,,
US,AK,99682*,,3.000%,BELUGA,,0,,
US,AK,99683*,,0.000%,PETERSVILLE,,0,,
US,AK,99684*,,5.000%,UNALAKLEET,,0,,
US,AK,99685*,,3.000%,UNALASKA,,0,,
US,AK,99686*,,0.000%,VALDEZ,,0,,
US,AK,99687*,,0.000%,KNIK RIVER,,0,,
US,AK,99688*,,0.000%,WILLOW,,0,,
US,AK,99689*,,0.000%,YAKUTAT,,0,,
US,AK,99690*,,6.000%,BETHEL,,0,,
US,AK,99691*,,0.000%,MC GRATH,,0,,
US,AK,99692*,,0.000%,DUTCH HARBOR,,0,,
US,AK,99693*,,0.000%,WHITTIER,,0,,
US,AK,99694*,,2.000%,HOUSTON,,0,,
US,AK,99695*,,0.000%,ANCHORAGE,,0,,
US,AK,99697*,,7.000%,KODIAK,,0,,
US,AK,99701*,,0.000%,COLDFOOT,,0,,
US,AK,99702*,,0.000%,EIELSON AFB,,0,,
US,AK,99703*,,0.000%,FORT WAINWRIGHT,,0,,
US,AK,99704*,,0.000%,CLEAR,,0,,
US,AK,99705*,,0.000%,FAIRBANKS,,0,,
US,AK,99706*,,0.000%,FAIRBANKS,,0,,
US,AK,99707*,,0.000%,FAIRBANKS,,0,,
US,AK,99708*,,0.000%,FAIRBANKS,,0,,
US,AK,99709*,,0.000%,COLLEGE,,0,,
US,AK,99710*,,0.000%,FAIRBANKS,,0,,
US,AK,99711*,,0.000%,FAIRBANKS,,0,,
US,AK,99712*,,0.000%,FAIRBANKS,,0,,
US,AK,99714*,,0.000%,FAIRBANKS,,0,,
US,AK,99716*,,0.000%,FAIRBANKS,,0,,
US,AK,99720*,,0.000%,ALATNA,,0,,
US,AK,99721*,,0.000%,ANAKTUVUK PASS,,0,,
US,AK,99722*,,0.000%,ARCTIC VILLAGE,,0,,
US,AK,99723*,,0.000%,BARROW,,0,,
US,AK,99724*,,0.000%,BEAVER,,0,,
US,AK,99725*,,0.000%,ESTER,,0,,
